Name;Rarity;Gender;Faction;Class;HP;ATK;DEF;RES;DP Cost;Block;Event;EN_Release;Limited;Birthday
Narantuya;6;Female;Sargon;Sniper Loopshooter;2500;675;170;0;16;1;Adventure That Cannot Wait for the Sun;1/16/2025;;May 26th
Pepe;6;Female;Sargon;Guard Earthshaker;2851;1290;387;0;20;2;Adventure That Cannot Wait for the Sun;1/16/2025;Limited;June 12th
Sand Reckoner;5;Male;Sargon;Supporter Summoner;1031;450;160;20;11;1;Adventure That Cannot Wait for the Sun;1/16/2025;;June 15th
Papyrus;5;Female;Sargon;Medic Chain;1715;440;160;0;20;1;Adventure That Cannot Wait for the Sun;1/16/2025;;July 12th
Ulpianus;6;Male;Abyssal Hunters;Guard Crusher;6022;1569;0;0;24;2;Path of Life;12/03/2024;;April 13th
Lucilla;5;Female;Aegir;Supporter Hexer;1625;440;103;25;12;1;Path of Life;12/03/2024;;November 3rd
Underflow;5;Female;Aegir;Defender Sentry Protector;3253;439;696;0;24;3;Path of Life;12/03/2024;;August 1st
Wis'adel;6;Female;Babel;Sniper Flinger;1888;687;256;15;25;1;Absolved Will Be the Seekers;10/31/2024;Limited;Claims to have forgotten
Civilight Eterna;6;Female;Rhodes Island;Supporter Bard;1628;369;226;0;10;1;Absolved Will Be the Seekers;10/31/2024;;July 11th
Logos;6;Male;Elite Op;Caster Core;1663;671;119;20;21;1;Absolved Will Be the Seekers;10/31/2024;;September 5th
Amiya (Medic);5;Female;Rhodes Island;Medic Incantation;1416;532;106;20;17;1;Absolved Will Be the Seekers;10/31/2024;;
Fang the Fire-Sharpened;5;Female;Rhodes Island;Vanguard Charger;2226;570;360;0;12;1;Absolved Will Be the Seekers;10/31/2024;;December 2nd
PhonoR-0;1;Female;Rhodes Island;Supporter Ritualist;395;205;30;5;3;1;Absolved Will Be the Seekers;10/31/2024;;September 2nd
Ascalon;6;Female;S.W.E.E.P.;Specialist Ambusher;1623;954;333;30;21;0;Babel (event);10/10/2024;;Unknown
Aroma;5;Female;Siracusa;Caster Blast;1591;760;115;20;33;1;Babel (event);10/10/2024;;August 1st
Odda;5;Male;Rhodes Island;Guard Earthshaker;2593;1190;337;0;21;2;Babel (event);10/10/2024;;January 1st
Lutonada;4;Female;Bolivar;Defender Juggernaut;3550;790;495;10;34;3;Babel (event);10/10/2024;;Reported as Unknown
Ela;6;Female;Team Rainbow;Specialist Trapmaster;1468;588;173;0;12;1;Operation Lucent Arrowhead;09/05/2024;Limited;November 8th
Doc;5;Male;Team Rainbow;Guard Instructor;2217;657;360;0;16;2;Operation Lucent Arrowhead;09/05/2024;Limited;September 16th
Fuze;5;Male;Team Rainbow;Guard Centurion;2660;795;290;0;25;3;Operation Lucent Arrowhead;09/05/2024;;October 12th
Iana;5;Female;Team Rainbow;Specialist Dollkeeper;2436;708;291;0;15;2;Operation Lucent Arrowhead;09/05/2024;Limited;August 27th
Zuo Le;6;Male;Yan;Guard Soloblade;3858;780;315;0;26;1;Here A People Sows;7/31/2024;;April 30th
Shu;6;Female;Sui;Defender Guardian;3213;479;602;10;22;3;Here A People Sows;7/31/2024;Limited;June 6th
Grain Buds;5;Female;Yan;Supporter Decel Binder;1260;525;100;20;15;1;Here A People Sows;7/31/2024;;May 21st
Wanqing;5;Male;Yan;Vanguard Standard Bearer;1516;514;380;0;13;1;Here A People Sows;7/31/2024;;May 6th
Ray;6;Female;Rim Billiton;Sniper Hunter;1933;1072;228;0;21;1;To the Grinning Valley;07/09/2024;;July 14th
Warmy;5;Female;Rim Billiton;Caster Primal;1358;581;106;15;20;1;To the Grinning Valley;07/09/2024;;December 17th
Degenbrecher;6;Female;Karlan Trade;Guard Swordmaster;2891;635;339;0;23;2;The Rides to Lake Silberneherze;6/21/2024;;June 6th
Harold;5;Male;Victoria;Medic Wandering;1400;385;100;10;17;1;The Rides to Lake Silberneherze;6/21/2024;;September 21st
Leto;5;Female;Ursus Student Self-Governing Group;Guard Lord;2280;680;375;10;19;2;The Rides to Lake Silberneherze;6/21/2024;;March 30th
Lessing;6;Male;Leithanien;Guard Dreadnought;3682;1044;277;0;21;1;Zwillingst�rme im Herbst;4/30/2024;;July 17th
Viviana;6;Female;Leithanien;Guard Arts Fighter;2920;646;447;15;21;1;Zwillingst�rme im Herbst;4/30/2024;;July 21st
Virtuosa;6;Female;Laterano;Supporter Ritualist;1201;485;109;15;16;1;Zwillingst�rme im Herbst;4/30/2024;Limited;September 23rd
Diamante;5;Male;Leithanien;Caster Primal;1309;578;111;15;20;1;Zwillingst�rme im Herbst;4/30/2024;;January 7th
Bassline;5;Male;Leithanien;Defender Guardian;2770;473;570;10;21;3;Zwillingst�rme im Herbst;4/30/2024;;July 16th
Caper;4;Female;Bolivar;Sniper Loopshooter;2200;600;160;0;14;1;Zwillingst�rme im Herbst;4/30/2024;;January 20th
Hoederer;6;Male;Babel;Guard Crusher;5988;1578;0;0;24;2;The Whirlpool that is Passion;4/16/2024;;April 22nd
Delphine;5;Female;Victoria;Caster Mystic;1532;1240;128;20;26;1;The Whirlpool that is Passion;4/16/2024;;November 2nd
Vendela;5;Female;Victoria;Medic Incantation;1370;550;100;20;17;1;The Whirlpool that is Passion;4/16/2024;;May 14th
Verdant;4;Male;Victoria;Specialist Dollkeeper;2266;672;259;0;14;2;The Whirlpool that is Passion;4/16/2024;;April 12th
Jessica the Liberated;6;Female;Blacksteel;Defender Sentry Protector;3608;522;716;0;23;3;Come Catastrophes or Wakes of Vultures;3/19/2024;;March 3rd
Almond;5;Female;Blacksteel;Specialist Hookmaster;2130;695;410;0;13;2;Come Catastrophes or Wakes of Vultures;3/19/2024;;February 27th
Coldshot;5;Female;Columbia;Sniper Hunter;1855;958;224;0;21;1;Come Catastrophes or Wakes of Vultures;3/19/2024;;July 26th, 1047
Typhon;6;Female;Sami;Sniper Besieger;1702;1045;113;0;24;1;The Black Forest Wills A Dream;2/27/2024;;February 1st
Santalla;5;Female;Sami;Caster Splash;1640;770;123;20;33;1;The Black Forest Wills A Dream;2/27/2024;;March 19th
Eyjafjalla the Hvit Aska;6;Female;Leithanien;Medic Wandering;1439;424;109;10;16;1;So Long, Adele;1/16/2024;Limited;October 18th
Swire the Elegant Wit;6;Female;Lungmen;Specialist Merchant;2360;810;457;0;9;1;So Long, Adele;1/16/2024;;July 1st
Poncirus;5;Female;Siesta;Vanguard Pioneer;2215;455;360;0;13;2;So Long, Adele;1/16/2024;;November 21st
Bryophyta;5;Male;Siesta;Guard Instructor;1900;650;421;0;18;2;So Long, Adele;1/16/2024;;September 29th
Executor the Ex Foedere;6;Male;Laterano;Guard Reaper;2491;707;461;0;23;2;Hortus de Escapismo;12/21/2023;;July 7th
Spuria;5;Female;Laterano;Specialist Geek;1893;662;138;10;12;1;Hortus de Escapismo;12/21/2023;;August 20th
Insider;5;Male;Laterano;Sniper Marksman;1440;522;178;0;15;1;Hortus de Escapismo;12/21/2023;;November 14th
Friston-3;1;Male;Rhodes Island;Defender Protector;1152;198;253;0;3;3;Pinch-Out Experimental Operation;12/05/2023;;November 13th
Ho'olheyak;6;Female;Columbia;Caster Core;1770;633;130;20;21;1;Lone Trail;11/07/2023;;July 12th
Silence the Paradigmatic;6;Female;Rhine Lab;Supporter Abjurer;1927;467;184;25;15;1;Lone Trail;11/07/2023;;May 18th
Muelsyse;6;Female;Rhine Lab;Vanguard Tactician;1813;497;117;0;15;1;Lone Trail;11/07/2023;Limited;November 3rd
Melanite;5;Female;Columbia;Sniper Heavyshooter;1664;792;210;0;19;1;Lone Trail;11/07/2023;;March 15th
Ines;6;Female;Babel;Vanguard Agent;2121;589;281;0;11;1;All Quiet Under the Thunder;10/24/2023;;February 19th
Cement;5;Female;Rim Billiton;Defender Duelist;3642;1002;628;0;32;1;All Quiet Under the Thunder;10/24/2023;;October 25th
Morgan;5;Female;Glasgow;Guard Dreadnought;3810;905;243;0;20;1;All Quiet Under the Thunder;10/24/2023;;May 14th
Humus;4;Male;Rhodes Island;Guard Reaper;2150;616;403;0;21;2;All Quiet Under the Thunder;10/24/2023;;February 20th
Kirin R Yato;6;Female;Op A4;Specialist Executor;1629;565;318;0;10;1;A Flurry to the Flame;09/07/2023;Limited;May 14th
Rathalos S Noir Corne;5;Male;Op A4;Guard Soloblade;3518;726;351;0;25;1;A Flurry to the Flame;09/07/2023;Limited;August 30th
Terra Research Commission;1;Unknown;Rhodes Island;Sniper Flinger;518;276;51;0;3;1;A Flurry to the Flame;09/07/2023;;Unknown
Qiubai;6;Female;Yan;Guard Lord;2480;718;402;10;20;2;A Death in Chunfen;8/22/2023;;May 14th
Wind Chimes;5;Female;Yan;Guard Crusher;5669;1439;0;0;23;2;A Death in Chunfen;8/22/2023;;April 7th
Lin;6;Female;Lungmen;Caster Phalanx;2048;849;242;15;24;1;Where Vernal Winds Will Never Blow;7/28/2023;;November 9th
Chongyue;6;Male;Sui;Guard Fighter;2635;590;363;0;11;1;Where Vernal Winds Will Never Blow;7/28/2023;Limited;January 1st
Jieyun;5;Female;Yan;Sniper Artilleryman;1650;835;115;0;30;1;Where Vernal Winds Will Never Blow;7/28/2023;;July 6th
Firewhistle;5;Female;Rim Billiton;Defender Fortress;2983;883;568;0;27;1;Where Vernal Winds Will Never Blow;7/28/2023;;May 6th
Reed the Flame Shadow;6;Female;Tara;Medic Incantation;1583;550;84;20;17;1;What the Firelight Casts;7/13/2023;;October 16th
Puzzle;5;Male;Victoria;Vanguard Agent;1860;566;244;0;12;1;What the Firelight Casts;7/13/2023;;December 5th
Harmonie;5;Female;Tara;Caster Mystic;1546;1245;125;20;24;1;What the Firelight Casts;7/13/2023;;May 13th
Vigil;6;Male;Siracusa;Vanguard Tactician;1755;642;154;0;17;1;Il Siracusano;5/23/2023;;January 15th
Penance;6;Female;Siracusa;Defender Juggernaut;4055;876;616;10;36;3;Il Siracusano;5/23/2023;;July 9th
Texas the Omertosa;6;Female;Penguin Logistics;Specialist Executor;1598;569;320;0;10;1;Il Siracusano;5/23/2023;Limited;June 1st
Lunacub;5;Female;Siracusa;Sniper Deadeye;1536;1034;155;0;21;1;Il Siracusano;5/23/2023;;October 3rd
Qanipalaat;5;Male;Sami;Caster Core;1500;625;119;20;20;1;Il Siracusano;5/23/2023;;December 12th
Quartz;4;Female;Columbia;Guard Crusher;5432;1387;0;0;22;2;Il Siracusano;5/23/2023;;August 13th
Stainless;6;Male;Victoria;Supporter Artificer;2773;593;421;0;19;2;Return to Mist;4/27/2023;;April 11th
Dagda;5;Female;Glasgow;Guard Fighter;2506;574;310;0;12;1;Return to Mist;4/27/2023;;July 9th
Paprika;5;Female;Rhodes Island;Medic Chain;1666;439;171;0;18;1;Return to Mist;4/27/2023;;March 13th
Totter;4;Male;Sargon;Sniper Besieger;1550;920;105;0;22;1;Return to Mist;4/27/2023;;June 21st
Luo Xiaohei;4;Male;Yan;Guard Lord;2040;698;325;10;17;2;It's Been A While;04/07/2023;;November 1st
Mynar;6;Male;Kazimierz;Guard Liberator;3906;355;502;15;12;3;An Obscure Wanderer;3/31/2023;;December 3rd
Proviso;5;Female;Kazimierz;Supporter Decel Binder;1298;513;102;20;15;1;An Obscure Wanderer;3/31/2023;;October 30th
Dorothy;6;Female;Rhine Lab;Specialist Trapmaster;1502;581;172;0;12;1;Dorothy's Vision;3/14/2023;;May 8th
Astgenne;5;Female;Rhine Lab;Caster Chain;1440;630;122;20;34;1;Dorothy's Vision;3/14/2023;;July 10th
Greyy the Lightningbearer;5;Male;Rhodes Island;Sniper Flinger;1730;628;240;15;24;1;Dorothy's Vision;3/14/2023;;June 6th
Pozemka;6;Female;Rhodes Island;Sniper Heavyshooter;1802;876;193;0;20;1;Ideal City;1/13/2023;;March 15th
Gavial the Invincible;6;Female;Rhodes Island;Guard Centurion;2906;766;391;0;24;3;Ideal City;1/13/2023;Limited;May 1st
Cantabile;5;Female;Rhodes Island;Vanguard Agent;1917;560;267;0;10;1;Ideal City;1/13/2023;;April 7th
Minimalist;5;Male;Sargon;Caster Mech-Accord;1400;320;120;20;23;1;Ideal City;1/13/2023;;April 20th
Ebenholz;6;Male;Leithanien;Caster Mystic;1678;1400;135;20;25;1;Lingering Echoes;12/27/2022;;June 5th
Hibiscus the Purifier;5;Female;Rhodes Island;Medic Incantation;1508;511;109;20;17;1;Lingering Echoes;12/27/2022;;June 21st
Czerny;5;Male;Leithanien;Defender Arts Protector;3122;625;577;15;27;3;Lingering Echoes;12/27/2022;;September 10th
Irene;6;Female;Iberia;Guard Swordmaster;2935;621;349;0;23;2;Stultifera Navis;11/03/2022;;January 3rd
Specter the Unchained;6;Female;Abyssal Hunters;Specialist Dollkeeper;2803;737;322;0;16;2;Stultifera Navis;11/03/2022;Limited;July 27th
Lumen;6;Male;Iberia;Medic Therapist;1825;540;111;10;23;1;Stultifera Navis;11/03/2022;;June 12th
Windflit;5;Male;Columbia;Supporter Artificer;2600;535;425;0;18;2;Stultifera Navis;11/03/2022;;February 2nd
Horn;6;Female;Victoria;Defender Fortress;3067;936;620;0;28;3;Shatterpoint;10/19/2022;;November 1st
Rockrock;5;Female;Victoria;Caster Mech-Accord;1468;320;123;20;21;1;Shatterpoint;10/19/2022;;June 7th
Heidi;5;Female;Victoria;Supporter Bard;1260;320;268;0;9;1;Shatterpoint;10/19/2022;;March 26th
Chestnut;4;Male;Rhodes Island;Medic Wandering;1137;389;101;10;14;1;Shatterpoint;10/19/2022;;March 15th
Fiammetta;6;Female;Laterano;Sniper Artilleryman;1926;861;156;0;29;1;Guide Ahead;9/16/2022;;April 3rd
Enforcer;5;Male;Laterano;Specialist Push Stroker;1937;653;381;0;22;2;Guide Ahead;9/16/2022;;January 30th
Kazemaru;5;Female;Higashi;Specialist Dollkeeper;2372;692;318;0;15;2;Guide Ahead;9/16/2022;;December 29th
Goldenglow;6;Female;Victoria;Caster Mech-Accord;1480;331;125;20;22;1;A Light Spark in Darkness;8/18/2022;;January 7th
Quercus;5;Female;Rhodes Island;Supporter Abjurer;1680;463;172;25;12;1;A Light Spark in Darkness;8/18/2022;;December 22nd
Lee;6;Male;Lee's Detective Agency;Specialist Merchant;2421;789;465;0;9;1;Invitation to Wine;7/29/2022;;October 25th
Ling;6;Female;Sui;Supporter Summoner;1079;473;138;20;12;1;Invitation to Wine;7/29/2022;Limited;March 3rd
Kroos the Keen Glint;5;Female;Rhodes Island;Sniper Marksman;1520;502;176;0;15;1;Invitation to Wine;7/29/2022;;November 22nd
Blacknight;5;Female;Rim Billiton;Vanguard Tactician;1625;442;133;0;14;1;Invitation to Wine;7/29/2022;;November 2nd
Nine-Colored Deer;5;Female;Yan;Supporter Abjurer;1685;443;179;25;11;1;Display of Auspices;7/14/2022;;December 8th
Gnosis;6;Male;Karlan Trade;Supporter Hexer;2035;455;132;25;13;1;Break the Ice;6/30/2022;;December 11th
Kjera;5;Female;Karlan Trade;Caster Mech-Accord;1475;294;121;20;23;1;Break the Ice;6/30/2022;;December 5th
Aurora;5;Female;Karlan Trade;Defender Duelist;4027;901;640;0;32;1;Break the Ice;6/30/2022;;December 20th
Flametail;6;Female;Pinus Sylvestris;Vanguard Pioneer;2138;526;392;0;14;2;Near Light;4/28/2022;;October 8th
Nearl the Radiant Knight;6;Female;Kazimierz;Guard Dreadnought;3550;1064;295;0;19;1;Near Light;4/28/2022;Limited;April 23rd
Wild Mane;5;Female;Pinus Sylvestris;Vanguard Charger;2225;558;372;0;14;1;Near Light;4/28/2022;;August 3rd
Corroserum;5;Male;Columbia;Caster Blast;1572;760;120;20;33;1;Near Light;4/28/2022;;April 7th
Honeyberry;5;Female;Rim Billiton;Medic Wandering;1458;375;107;10;15;1;Near Light;4/28/2022;;March 20th
Pudding;4;Female;Columbia;Caster Chain;1326;542;108;20;31;1;Near Light;4/28/2022;;December 21st
Justice Knight;1;;Pinus Sylvestris;Sniper Marksman;495;172;41;0;3;1;Near Light;4/28/2022;;
Fartooth;6;Female;Pinus Sylvestris;Sniper Deadeye;1522;1196;163;0;22;1;Pinus Sylvestris (event);4/14/2022;;October 10th
Ashlock;5;Female;Pinus Sylvestris;Defender Fortress;3207;865;541;0;27;3;Pinus Sylvestris (event);4/14/2022;;March 20th
Saileach;6;Female;Victoria;Vanguard Standard Bearer;1835;546;367;0;12;1;Stormwatch;3/17/2022;;May 31st
Mulberry;5;Female;Yan;Medic Wandering;1367;388;99;10;15;1;Stormwatch;3/17/2022;;June 26th
Roberta;4;Female;Columbia;Supporter Artificer;2470;535;415;0;15;2;Stormwatch;3/17/2022;;May 10th
Mizuki;6;Male;Higashi;Specialist Ambusher;1758;865;356;30;21;0;Dossoles Holiday;1/14/2022;;March 22nd
Ch'en the Holungday;6;Female;Rhodes Island;Sniper Spreadshooter;2501;773;203;0;32;1;Dossoles Holiday;1/14/2022;Limited;July 7th
La Pluma;5;Female;Bolivar;Guard Reaper;2250;650;452;0;22;2;Dossoles Holiday;1/14/2022;;August 29th
Tequila;5;Male;Bolivar;Guard Liberator;3757;302;501;15;13;3;Dossoles Holiday;1/14/2022;;May 15th
Pallas;6;Female;Minos;Guard Instructor;1963;687;455;0;17;2;Interlocking Competition Hymnoi Wisdom;12/29/2021;;February 8th
Carnelian;6;Female;Leithanien;Caster Phalanx;2106;846;228;15;24;1;Preluding Lights;12/09/2021;;January 17th
Bena;5;Female;Victoria;Specialist Dollkeeper;2435;682;315;0;17;2;Preluding Lights;12/09/2021;;April 3rd
Kirara;5;Female;Higashi;Specialist Ambusher;1780;798;340;30;20;0;Preluding Lights;12/09/2021;;November 29th
Indigo;4;Female;Iberia;Caster Mystic;1435;1116;117;20;23;1;Preluding Lights;12/09/2021;;September 30th
Kal'tsit;6;Female;Rhodes Island;Medic Medic;1633;490;215;0;20;1;Under Tides;10/21/2021;;Undisclosed
Gladiia;6;Female;Abyssal Hunters;Specialist Hookmaster;2309;801;331;0;16;2;Under Tides;10/21/2021;;November 6th
Skadi the Corrupting Heart;6;Female;Aegir;Supporter Bard;1603;368;233;0;8;1;Under Tides;10/21/2021;Limited;March 7th
Akafuyu;5;Female;Higashi;Guard Soloblade;3635;728;328;0;25;1;Under Tides;10/21/2021;;March 27th
Passenger;6;Male;Sargon;Caster Chain;1558;689;130;20;33;1;A Walk in the Dust;9/30/2021;;September 1st
Heavyrain;5;Female;Rhodes Island;Defender Protector;3380;378;721;0;24;3;A Walk in the Dust;9/30/2021;;March 3rd
Toddifons;5;Female;Victoria;Sniper Besieger;1667;954;123;0;23;1;A Walk in the Dust;9/30/2021;;July 31st
Ash;6;Female;Team Rainbow;Sniper Marksman;1689;534;169;0;14;1;Operation Originium Dust;8/18/2021;Limited;December 24th
Frost;5;Female;Team Rainbow;Specialist Trapmaster;1359;529;157;0;11;1;Operation Originium Dust;8/18/2021;Limited;May 4th
Blitz;5;Male;Team Rainbow;Defender Sentry Protector;3213;445;676;0;22;3;Operation Originium Dust;8/18/2021;Limited;April 2nd
Tachanka;5;Male;Team Rainbow;Guard Swordmaster;2626;621;309;0;24;2;Operation Originium Dust;8/18/2021;;November 3rd
Saga;6;Female;Higashi;Vanguard Pioneer;2205;530;372;0;14;2;Who is Real;7/30/2021;;December 31st
Dusk;6;Female;Sui;Caster Splash;1801;918;127;20;34;1;Who is Real;7/30/2021;Limited;November 11th
Mr. Nothing;5;Male;Yan;Specialist Merchant;2398;725;396;0;8;1;Who is Real;7/30/2021;;January 13th
Lava the Purgatory;5;Female;Rhodes Island;Caster Splash;1543;798;115;20;35;1;Who is Real;7/30/2021;;June 22nd
Archetto;6;Female;Laterano;Sniper Marksman;1705;528;172;0;14;1;Beyond Here;07/06/2021;;November 16th
Iris;5;Female;Victoria;Caster Mystic;1535;1259;125;20;24;1;Beyond Here;07/06/2021;;April 2nd
Beanstalk;4;Female;Columbia;Vanguard Tactician;1569;405;125;0;13;1;Beyond Here;07/06/2021;;March 10th
Mountain;6;Male;Columbia;Guard Fighter;2745;587;357;0;11;1;Mansfield Break;6/22/2021;;July 16th
Kafka;5;Female;Columbia;Specialist Executor;1675;525;311;0;9;1;Mansfield Break;6/22/2021;;December 1st
Robin;5;Female;Columbia;Specialist Trapmaster;1442;513;166;0;13;1;Mansfield Break;6/22/2021;;May 18th
Pinecone;4;Female;Columbia;Sniper Spreadshooter;2200;667;167;0;30;1;Mansfield Break;6/22/2021;;March 12th
Purestream;4;Female;Yan;Medic Therapist;1365;454;118;10;19;1;Coexistence;5/19/2021;;October 24th
Rosmontis;6;Female;Elite Op;Sniper Flinger;1944;688;245;15;25;1;Fan Appreciation Event;4/30/2021;Limited;July 6th
Mudrock;6;Female;Rhodes Island;Defender Juggernaut;3928;882;602;10;36;3;Fan Appreciation Event;4/30/2021;;September 21st
Amiya (Guard);5;Female;Rhodes Island;Guard Arts Fighter;2629;657;376;20;20;1;Fan Appreciation Event;4/30/2021;;
Whisperain;5;Female;Iberia;Medic Therapist;1432;492;119;10;20;1;Fan Appreciation Event;4/30/2021;;March 6th
Jackie;4;Female;Columbia;Guard Fighter;2278;529;308;0;9;1;Fan Appreciation Event;4/30/2021;;September 15th
Blemishine;6;Female;Kazimierz;Defender Guardian;3242;491;581;10;22;3;Maria Nearl;04/08/2021;;July 15th
Aosta;5;Male;Chiave's Gang;Sniper Spreadshooter;2376;691;192;0;31;1;Maria Nearl;04/08/2021;;May 9th
Whislash;5;Female;Kazimierz;Guard Instructor;1932;645;420;0;18;2;Maria Nearl;04/08/2021;;June 28th
Bubble;4;Female;Sargon;Defender Protector;3416;370;645;0;21;3;Maria Nearl;04/08/2021;;March 19th
Surtr;6;Female;Rhodes Island;Guard Arts Fighter;2916;672;414;15;21;1;Rewinding Breeze;3/25/2021;;January 22nd
Mint;5;Female;Victoria;Caster Phalanx;1945;732;196;15;25;1;Rewinding Breeze;3/25/2021;;February 5th
April;5;Female;Rim Billiton;Sniper Marksman;1280;528;160;0;13;1;Rewinding Breeze;3/25/2021;;January 27th
Arene;4;Male;Laterano;Guard Lord;2250;640;340;10;18;2;Rewinding Breeze;3/25/2021;;September 7th
Eunectes;6;Female;Sargon;Defender Duelist;4468;1007;615;0;33;1;The Great Chief Returns;2/25/2021;;October 30th
Tomimi;5;Female;Sargon;Caster Core;1920;600;119;20;22;1;The Great Chief Returns;2/25/2021;;February 2nd
Flint;5;Female;Sargon;Guard Fighter;2495;545;334;0;10;1;The Great Chief Returns;2/25/2021;;September 17th
Aciddrop;4;Female;Columbia;Sniper Heavyshooter;1576;735;209;0;18;1;The Great Chief Returns;2/25/2021;;August 13th
Thorns;6;Male;Iberia;Guard Lord;2612;711;402;10;20;2;Heart of Surging Flame/Rerun;1/20/2021;;March 17th
Andreana;5;Female;Abyssal Hunters;Sniper Deadeye;1498;1070;128;0;21;1;Heart of Surging Flame/Rerun;1/20/2021;;November 16th
Jaye;4;Male;Lungmen;Specialist Merchant;2284;674;378;0;7;1;Heart of Surging Flame/Rerun;1/20/2021;;September 17th
W;6;Female;Babel;Sniper Artilleryman;1605;912;133;0;29;1;1st Anniversary Celebration;12/30/2020;Limited;Claims to have forgotten
Weedy;6;Female;Rhodes Island;Specialist Push Stroker;2133;677;394;0;21;2;1st Anniversary Celebration;12/30/2020;;January 23rd
